Specie;Directory;FileName;metadata_numero;metadata_especie;HierarchicalSubject
Meles meles;~/WI_speciesfolder/Meles meles;PICT0073Un tejon y un jabali - copia.JPG;1;Meles_meles_&_Sus_scrofa;numero|1, especie|tejon, especie|jabali
Meles meles;~/WI_speciesfolder/Meles meles;ESC850067-FEROZ Y TEJON(10.09.12)1.11 - copia (3).jpg;1;Lynx_pardinus_&_Meles_meles;especie|lince, numero|1, especie|tejon
Meles meles;~/WI_speciesfolder/Meles meles;ESC850068-FEROZ Y TEJON(10.09.12)2.11 - copia (3).jpg;1;Lynx_pardinus_&_Meles_meles;especie|lince, numero|1, especie|tejon
Meles meles;~/WI_speciesfolder/Meles meles;ESC850069-FEROZ Y TEJON(10.09.12)3.11 - copia (4).jpg;1;Lynx_pardinus_&_Meles_meles;especie|lince, numero|1, especie|tejon
Meles meles;~/WI_speciesfolder/Meles meles;ESC850070-FEROZ Y TEJON(10.09.12)4.11.jpg;1;Lynx_pardinus_&_Meles_meles;especie|lince, numero|1, especie|tejon
Meles meles;~/WI_speciesfolder/Meles meles;ESC850071-FEROZ Y TEJON(10.09.12)5.11 - copia.jpg;1;Lynx_pardinus_&_Meles_meles;especie|lince, numero|1, especie|tejon
Meles meles;~/WI_speciesfolder/Meles meles;ESC850072-FEROZ Y TEJON(10.09.12)6.11 - copia.jpg;1;Lynx_pardinus_&_Meles_meles;especie|lince, numero|1, especie|tejon
Meles meles;~/WI_speciesfolder/Meles meles;ESC850073-FEROZ Y TEJON(10.09.12)7.11 - copia.jpg;1;Lynx_pardinus_&_Meles_meles;especie|lince, numero|1, especie|tejon
Meles meles;~/WI_speciesfolder/Meles meles;ESC850074-FEROZ Y TEJON(10.09.12)8.11 - copia.jpg;1;Lynx_pardinus_&_Meles_meles;especie|lince, numero|1, especie|tejon
Meles meles;~/WI_speciesfolder/Meles meles;ESC850075-FEROZ Y TEJON(10.09.12)9.11 - copia.jpg;1;Lynx_pardinus_&_Meles_meles;especie|lince, numero|1, especie|tejon
Meles meles;~/WI_speciesfolder/Meles meles;ESC850076-FEROZ Y TEJON(10.09.12)10.11 - copia (3).jpg;1;Lynx_pardinus_&_Meles_meles;especie|lince, numero|1, especie|tejon
Meles meles;~/WI_speciesfolder/Meles meles;ESC850077-FEROZ Y TEJON(10.09.12)11.11 - copia.jpg;1;Lynx_pardinus_&_Meles_meles;especie|lince, numero|1, especie|tejon
Meles meles;~/WI_speciesfolder/Meles meles;ESC900245-FEROZ  VS TEJON(06.08.13)2.6 - copia (3).JPG;1;Lynx_pardinus_&_Meles_meles;especie|lince, numero|1, especie|tejon
Meles meles;~/WI_speciesfolder/Meles meles;ESC900247-FEROZ  VS TEJON(06.08.13)4.6 - copia (3).JPG;1;Lynx_pardinus_&_Meles_meles;especie|lince, numero|1, especie|tejon
Meles meles;~/WI_speciesfolder/Meles meles;ESC900248-FEROZ  VS TEJON(06.08.13)5.6 - copia (4).JPG;1;Lynx_pardinus_&_Meles_meles;especie|lince, numero|1, especie|tejon
Meles meles;~/WI_speciesfolder/Meles meles;ESC560255-INDETERM. VS TEJON(22.08.13)1.1 - copia (3).JPG;1;Lynx_pardinus_&_Meles_meles;especie|lince, numero|1, especie|tejon
Meles meles;~/WI_speciesfolder/Meles meles;Lt.902 Tejon - copia.JPG;1;Meles_meles;numero|1, especie|tejon
Meles meles;~/WI_speciesfolder/Meles meles;TEJON - copia (113).JPG;1;Meles_meles;numero|1, especie|tejon
Meles meles;~/WI_speciesfolder/Meles meles;TEJON (441) - copia.JPG;1;Meles_meles;numero|1, especie|tejon
Meles meles;~/WI_speciesfolder/Meles meles;tejon - copia (112).JPG;1;Meles_meles;numero|1, especie|tejon
Meles meles;~/WI_speciesfolder/Meles meles;Tejon - copia (111).JPG;1;Meles_meles;numero|1, especie|tejon
Meles meles;~/WI_speciesfolder/Meles meles;Tejon (440) - copia.JPG;1;Meles_meles;numero|1, especie|tejon
Meles meles;~/WI_speciesfolder/Meles meles;Tejon - copia (110).JPG;1;Meles_meles;numero|1, especie|tejon
Meles meles;~/WI_speciesfolder/Meles meles;Tejon - copia (109).JPG;1;Meles_meles;numero|1, especie|tejon
Meles meles;~/WI_speciesfolder/Meles meles;Tejon (439) - copia.JPG;1;Meles_meles;numero|1, especie|tejon
Meles meles;~/WI_speciesfolder/Meles meles;Tejon 2.JPG;1;Meles_meles;numero|1, especie|tejon
Meles meles;~/WI_speciesfolder/Meles meles;Tejon (438) - copia.JPG;1;Meles_meles;numero|1, especie|tejon
Meles meles;~/WI_speciesfolder/Meles meles;Tejon - copia (108).JPG;1;Meles_meles;numero|1, especie|tejon
Meles meles;~/WI_speciesfolder/Meles meles;Tejon (437) - copia.JPG;1;Meles_meles;numero|1, especie|tejon
Meles meles;~/WI_speciesfolder/Meles meles;Tejon - copia (107).JPG;1;Meles_meles;numero|1, especie|tejon
Meles meles;~/WI_speciesfolder/Meles meles;Tejon 3 - copia (3).JPG;1;Meles_meles;numero|1, especie|tejon
Meles meles;~/WI_speciesfolder/Meles meles;Tejon (436) - copia.JPG;1;Meles_meles;numero|1, especie|tejon
Meles meles;~/WI_speciesfolder/Meles meles;Tejon - copia (106).JPG;1;Meles_meles;numero|1, especie|tejon
Meles meles;~/WI_speciesfolder/Meles meles;Tejon (435) - copia.JPG;1;Meles_meles;numero|1, especie|tejon
Meles meles;~/WI_speciesfolder/Meles meles;Tejon (434) - copia.JPG;1;Meles_meles;numero|1, especie|tejon
Meles meles;~/WI_speciesfolder/Meles meles;Tejon (433) - copia.JPG;1;Meles_meles;numero|1, especie|tejon
Meles meles;~/WI_speciesfolder/Meles meles;Tejon - copia (105).JPG;1;Meles_meles;numero|1, especie|tejon
Meles meles;~/WI_speciesfolder/Meles meles;Tejones (22) - copia.JPG;1;Meles_meles;numero|1, especie|tejon
Meles meles;~/WI_speciesfolder/Meles meles;Tejones (21) - copia.JPG;2;Meles_meles;numero|2, especie|tejon
Meles meles;~/WI_speciesfolder/Meles meles;Tejones (19) - copia.JPG;1;Meles_meles;numero|1, especie|tejon
Meles meles;~/WI_speciesfolder/Meles meles;Tejones - copia (2).JPG;2;Meles_meles;numero|2, especie|tejon
Meles meles;~/WI_speciesfolder/Meles meles;tejones 2 (4) - copia.JPG;1;Meles_meles;numero|1, especie|tejon
Meles meles;~/WI_speciesfolder/Meles meles;tejones 2 (3) - copia.JPG;1;Meles_meles;numero|1, especie|tejon
Meles meles;~/WI_speciesfolder/Meles meles;tejones 2.JPG;2;Meles_meles;numero|2, especie|tejon
Meles meles;~/WI_speciesfolder/Meles meles;tejones.JPG;1;Meles_meles;numero|1, especie|tejon
Meles meles;~/WI_speciesfolder/Meles meles;tejones (18) - copia.JPG;1;Meles_meles;numero|1, especie|tejon
Meles meles;~/WI_speciesfolder/Meles meles;tejones (4) - copia.JPG;2;Meles_meles;numero|2, especie|tejon
Meles meles;~/WI_speciesfolder/Meles meles;tejones (3) - copia.JPG;1;Meles_meles;numero|1, especie|tejon
Meles meles;~/WI_speciesfolder/Meles meles;tejones (17) - copia.JPG;1;Meles_meles;numero|1, especie|tejon
Meles meles;~/WI_speciesfolder/Meles meles;tejones (8) - copia.JPG;1;Meles_meles;numero|1, especie|tejon
Meles meles;~/WI_speciesfolder/Meles meles;tejones (9).JPG;1;Meles_meles;numero|1, especie|tejon
